,GRAND PRIX,DATE,WINNER,CAR,LAPS
0,Bahrain,05 Mar 2023,Max Verstappen,Red Bull Racing Honda RBPT,57
1,Saudi Arabia,19 Mar 2023,Sergio Perez,Red Bull Racing Honda RBPT,50
2,Australia,02 Apr 2023,Max Verstappen,Red Bull Racing Honda RBPT,58
3,Azerbaijan,30 Apr 2023,Sergio Perez,Red Bull Racing Honda RBPT,51
4,Miami,07 May 2023,Max Verstappen,Red Bull Racing Honda RBPT,57
5,Monaco,28 May 2023,Max Verstappen,Red Bull Racing Honda RBPT,78
6,Spain,04 Jun 2023,Max Verstappen,Red Bull Racing Honda RBPT,66
7,Canada,18 Jun 2023,Max Verstappen,Red Bull Racing Honda RBPT,70
8,Austria,02 Jul 2023,Max Verstappen,Red Bull Racing Honda RBPT,71
9,Great Britain,09 Jul 2023,Max Verstappen,Red Bull Racing Honda RBPT,52
10,Hungary,23 Jul 2023,Max Verstappen,Red Bull Racing Honda RBPT,70
11,Belgium,30 Jul 2023,Max Verstappen,Red Bull Racing Honda RBPT,44
12,Netherlands,27 Aug 2023,Max Verstappen,Red Bull Racing Honda RBPT,72
13,Italy,03 Sep 2023,Max Verstappen,Red Bull Racing Honda RBPT,51
14,Singapore,17 Sep 2023,Carlos Sainz,Ferrari,62
15,Japan,24 Sep 2023,Max Verstappen,Red Bull Racing Honda RBPT,53
16,Qatar,08 Oct 2023,Max Verstappen,Red Bull Racing Honda RBPT,57
17,United States,22 Oct 2023,Max Verstappen,Red Bull Racing Honda RBPT,56
18,Mexico,29 Oct 2023,Max Verstappen,Red Bull Racing Honda RBPT,71
19,Brazil,05 Nov 2023,Max Verstappen,Red Bull Racing Honda RBPT,71
20,Las Vegas,18 Nov 2023,Max Verstappen,Red Bull Racing Honda RBPT,50
21,Abu Dhabi,26 Nov 2023,Max Verstappen,Red Bull Racing Honda RBPT,58
